gene_name	pglobal_cv	qglobal_cv
TP53	0	0
KRAS	0	0
APC	0	0
FBXW7	7.60229879048779e-10	3.65214433895034e-06
SMAD4	1.87245178610018e-05	0.0719620670434022
SOX9	0.000110085481116684	0.352567100856367
ZFP36L2	0.000163674460431418	0.449309775950018
SLC16A14	0.000228197678932673	0.548130824796282
CTNNB1	0.000412722106542529	0.847389127187615
SMAD2	0.000440981019560582	0.847389127187615
KRTAP9-9	0.000664980725815112	0.999931669548502
DHRS4L2	0.00083296408863065	0.999931669548502
TCF7L2	0.000923394385578091	0.999931669548502
PIK3CA	0.00102831828780603	0.999931669548502
KRTAP5-4	0.00110409128730005	0.999931669548502
LRRC9	0.0013901884684413	0.999931669548502
JUN	0.00158544752132839	0.999931669548502
TESPA1	0.00158995153853703	0.999931669548502
MINDY4	0.00184988420049925	0.999931669548502
ARID1A	0.00196141134117289	0.999931669548502
NPRL2	0.00206166598677537	0.999931669548502
RBM46	0.00208075928696327	0.999931669548502
PCBP1	0.00232239967692505	0.999931669548502
MFSD3	0.00307025517633608	0.999931669548502
CSMD3	0.00316959490306334	0.999931669548502
ARAP2	0.00371698408186139	0.999931669548502
LUZP2	0.00385710094516845	0.999931669548502
OR51E2	0.00387660742747775	0.999931669548502
KIF4B	0.00407698408996215	0.999931669548502
AGAP9	0.00464993935319547	0.999931669548502
GNG12	0.00498425792000734	0.999931669548502
OR4A15	0.00630009561928924	0.999931669548502
KRTAP4-11	0.00634517175418092	0.999931669548502
ZDHHC8	0.00755516807308565	0.999931669548502
HEATR5B	0.0078771970670527	0.999931669548502
MYO18B	0.00796021866768426	0.999931669548502
RIT2	0.00811360741724565	0.999931669548502
ZNF781	0.00884970351058967	0.999931669548502
CCL4	0.00931077682734183	0.999931669548502
ECT2L	0.00938441267919488	0.999931669548502
RNF182	0.00991695055925612	0.999931669548502
SPANXN4	0.0110299018330818	0.999931669548502
ADGRL4	0.0111836509279867	0.999931669548502
GNAT2	0.0116546510081625	0.999931669548502
KHDC3L	0.0116840735088275	0.999931669548502
RAD21L1	0.011898174059444	0.999931669548502
C2orf78	0.0118996542299218	0.999931669548502
TEX47	0.0118998153429668	0.999931669548502
CXCL1	0.0121966634534589	0.999931669548502
RBM44	0.0125206870003398	0.999931669548502
CD300LF	0.0140797139102935	0.999931669548502
CD58	0.0141243795464507	0.999931669548502
TSGA10IP	0.0142916195810809	0.999931669548502
ZNF117	0.0146364736183819	0.999931669548502
ZNF727	0.014850499210412	0.999931669548502
ERBB4	0.016409993193524	0.999931669548502
OR10D3	0.0164893048836109	0.999931669548502
